eyes/adela.jpg,37.3,39.12,10.25,1,1,1,1,1,1,1,1,1
 hough>limbus,-13.10,2.37
 hough>limbus,-15.70,-6.01
 hough>limbus,-13.12,2.37
 hough|correlation|radial>limbus,-14.63,-13.77
 hough|correlation|radial>limbus,-13.09,2.33
 hough|correlation|radial>limbus,0.00,-4.10
eyes/eliska.jpg,44.39,45.05,8.08,1,1,1,1,1,2,1,1,1
 hough,-0.57,-1.09
 hough,-0.56,-1.08
 hough,-0.56,-1.08
 correlation,0.51,-1.00
 correlation,0.51,-1.00
 correlation,0.51,-1.00
 bitmap,-1.76,-2.42
 bitmap,4.27,1.07
 bitmap,-3.09,-4.82
 limbus,-0.46,-0.40
 limbus,-8.88,13.77
 limbus,0.99,-5.48
 radial,-0.22,-0.45
 radial,0.13,-0.74
 radial,-0.22,-0.45
 hough>limbus,-0.40,-0.63
 hough>limbus,-0.37,-0.65
 hough>limbus,-0.37,-0.64
 hough|correlation|radial>limbus,-0.32,-0.60
 hough|correlation|radial>limbus,-0.34,-0.59
 hough|correlation|radial>limbus,-0.30,-0.61
eyes/hanka.jpg,296.99,343.03,79.64,2,1,2,1,1,2,1,1,1
 hough,0.99,4.70
 hough,0.99,4.70
 hough,0.99,4.70
 correlation,-19.93,4.39
 correlation,0.07,5.39
 correlation,1.07,5.39
 bitmap,-19.64,-21.65
 bitmap,-57.19,-98.89
 bitmap,-8.89,-43.43
 limbus,36.79,-77.21
 limbus,-46.06,87.46
 limbus,46.71,69.98
 radial,-25.91,24.28
 radial,-25.91,24.28
 radial,-25.91,24.28
 hough>limbus,1.81,4.52
 hough>limbus,1.81,4.52
 hough>limbus,1.81,4.52
 hough|correlation|radial>limbus,-10.60,14.85
 hough|correlation|radial>limbus,40.47,17.96
 hough|correlation|radial>limbus,-10.99,14.97
eyes/hanka_dl.jpg,72.35,65.19,13.3,2,1,2,1,1,1,1,1,1
 hough,-0.35,-2.05
 hough,-0.35,-2.05
 hough,-0.35,-2.05
 correlation,0.53,0.61
 correlation,0.53,0.61
 correlation,0.53,0.61
 bitmap,-7.54,13.04
 bitmap,-16.23,18.05
 bitmap,-6.15,16.32
 limbus,-15.33,-5.52
 limbus,18.07,6.01
 limbus,5.90,7.90
 radial,0.40,-1.41
 radial,0.65,-1.30
 radial,0.40,-1.41
 hough>limbus,-0.17,-0.92
 hough>limbus,-0.16,-0.92
 hough>limbus,-0.16,-0.92
 hough|correlation|radial>limbus,-0.29,-0.95
 hough|correlation|radial>limbus,-0.29,-0.95
 hough|correlation|radial>limbus,-0.29,-0.95
eyes/jachym.jpg,74.72,71.58,14.8,1,1,1,1,1,2,1,1,1
 hough,-17.84,2.38
 hough,-15.48,2.39
 hough,-17.84,2.38
 correlation,-0.29,0.16
 correlation,-0.29,0.16
 correlation,0.71,0.16
 bitmap,-3.38,2.74
 bitmap,4.67,-11.72
 bitmap,-2.82,-4.87
 limbus,-2.41,-4.46
 limbus,-11.08,-14.38
 limbus,8.39,12.68
 radial,13.98,-1.70
 radial,13.98,-1.70
 radial,-12.77,-12.50
 hough>limbus,-17.54,1.55
 hough>limbus,-17.54,1.58
 hough>limbus,-17.54,1.55
 hough|correlation|radial>limbus,6.46,1.33
 hough|correlation|radial>limbus,-0.17,4.18
 hough|correlation|radial>limbus,-1.13,5.82
eyes/jakub_no.jpg,39.45,36.04,8.86,2,1,1,1,1,2,1,1,1
 hough,-0.34,-1.15
 hough,-0.34,-1.14
 hough,-0.31,-1.11
 correlation,0.61,-0.02
 correlation,0.61,-0.02
 correlation,-0.39,-0.02
 bitmap,-1.99,-2.07
 bitmap,-0.85,-12.84
 bitmap,-2.15,-2.65
 limbus,-0.79,-0.14
 limbus,-0.40,0.15
 limbus,-1.90,-20.61
 radial,-0.75,0.54
 radial,-0.75,0.54
 radial,-0.75,0.54
 hough>limbus,-0.34,-0.13
 hough>limbus,-0.39,-0.13
 hough>limbus,-0.34,-0.13
 hough|correlation|radial>limbus,-0.41,-0.04
 hough|correlation|radial>limbus,-0.33,-0.11
 hough|correlation|radial>limbus,-0.35,-0.10
eyes/jana.jpg,92.02,80.79,18.47,2,1,1,1,1,2,1,1,1
 hough,-0.45,-2.20
